country_code,code,name,localName,type,parentCode,flagUrl,latLng,localNameSpelling,delete,notes,dateIssued
FR,FR-75,,,Metropolitan collectivity with special status,,,,1,,Changing FR-75 subdivision type from metropolitan department to metropolitan collectivity with special status,2021-11-25
FR,FR-GF,,,,,,,,1,Deleting FR-GF department,2021-11-25
FR,FR-GP,,,,,,,,1,Deleting FR-GP department,2021-11-25
FR,FR-MQ,,,,,,,,1,Deleting FR-MQ department,2021-11-25
FR,FR-RE,,,,,,,,1,Deleting FR-RE department,2021-11-25
FR,FR-YT,,,,,,,,1,Deleting FR-YT department,2021-11-25
FR,FR-971,,,Overseas departmental collectivity,None,,,1,,Changing FR-971 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-972,,,Overseas unique territorial collectivity,None,,,1,,Changing FR-972 subdivision type from overseas department to Overseas unique territorial collectivity,2021-11-25
FR,FR-973,,,Overseas unique territorial collectivity,None,,,1,,Changing FR-973 subdivision type from overseas department to Overseas unique territorial collectivity,2021-11-25
FR,FR-974,,,Overseas departmental collectivity,None,,,1,,Changing FR-974 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-976,,,Overseas departmental collectivity,None,,,1,,Changing FR-976 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-67,,,,FR-6AE,,,1,,Updating parent code of FR-67 to FR-6AE,2021-11-25
FR,FR-68,,,,FR-6AE,,,1,,pdating parent code of FR-68 to FR-6AE,2021-11-25
FR,FR-6AE,Alsace,,European collectivity,FR-GES,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/FR/FR-6AE.svg,"[47.771, 7.335]",1,,Adding FR-6AE subdivision,2021-11-25
FR,FR-69M,Lyon,Métropole de Lyon,Metropolitan collectivity with special status,FR-ARA,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/FR/FR-69M.svg,"[45.767, 4.839]",,,Adding FR-69M subdivision,2021-11-25
GB,GB-ABC,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ABD,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ABE,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AGB,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AGY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AND,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ANN,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ANS,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BAS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BBD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BCP,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BDF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BDG,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BEN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BEX,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BFS,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BGE,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BGW,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BIR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNH,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNS,,,,GB-EnG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BOL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BPL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BST,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BUR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CAM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CAY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CBF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CCG,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CGN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CHE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CHW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CLD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CLK,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMA,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CON,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-COV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CRF,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CWY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DAL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DBY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DEN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DER,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DEV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DGY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DNC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DND,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DOR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DRS,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DUD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-DUR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EAL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EAW,England and Wales,,Collection of England and Wales,,,"[52.355, 1.174]",,,Adding GB-EAW subdivision,2021-11-25
GB,GB-EAY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EDH,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-EDU,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ELN,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ELS,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ENF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ENG,England,,Country,,,"[52.355, 1.174]",1,,Adding GB-ENG subdivision,2021-11-25
GB,GB-ERW,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ERY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ESS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ESX,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FAL,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FIF,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FLN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-FMO,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GAT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GBN,Great Britain,,Collection of countries,,,"[55.378, 3.436]",1,,Adding GB-GBN subdivision,2021-11-25
GB,GB-GLG,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GLS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GRE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-GWN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HAL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HAM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HAV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HCK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HEF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HIL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HLD,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HMF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HNS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HPL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HRT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HRW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-HRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-IOS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-IOW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ISL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-IVC,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KEC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KEN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KHL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KIR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KTT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-KWL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LAN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LBC,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LBH,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LCE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LDS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LEC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LEW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LIN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LIV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LND,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-LUT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MAN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MDB,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MDW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MEA,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MIK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MLN,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MON,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MRT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MRY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MTY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-MUL,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NAY,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NBL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NEL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NET,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NFK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NGM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NIR,Northern Ireland,,Country,,,"[54.787, 6.492]",1,,Adding GB-NIR subdivision,2021-11-25
GB,GB-NLK,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NLN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NMD,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NTL,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NTT,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NTY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NWM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NWP,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-NYK,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-OLD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ORK,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-OXF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-PKN,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-PLY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-POR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-POW,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-PTE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-RCC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
